OBJECTID,tract,pop2010,California_County,ZIP,City,Longitude,Latitude,CIscore,CIscoreP,CES_3_0_Percentile_Range,ozone,ozoneP,pm,pmP,diesel,dieselP,drink,drinkP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,ling,lingP,pov,povP,unemp,unempP,housingB,housingBP,PopChar,PopCharScore,PopCharP,Children_under10_pct,Pop_11_64_years_pct,Elderly_over_65_pct,Hispanic_pct,White_pct,African_American_pct,Native_American_pct,Asian_American_pct,Other_pct,OBJECTID_1,CIdecile,CIvigintile,tract_text,tract_id,OBJECTID_12,tract_1,Year_,City_1,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople,tract_id_1,Shape_Length,Shape_Area
11,6037550202.000000000000000,5496,Los Angeles,90650,Norwalk,-118.089689199999995,33.921284999999997,39.520000000000003,75,75-80%,0.046000000000000,53,12.050000000000001,82,26.940000000000001,80,570.730000000000018,60,0.000000000000000,0,5527.729999999999563,83,1434.710000000000036,82,4.400000000000000,40,0.000000000000000,0,0.120000000000000,47,0,0,0.200000000000000,9,48.189999999999998,5.940000000000000,67,62.880000000000003,72,4.590000000000000,41,13.420000000000000,94,26.500000000000000,72,12.400000000000000,67,44.899999999999999,67,7.900000000000000,38,18.300000000000001,52,64.200000000000003,6.660000000000000,72,12.800000000000001,77.000000000000000,10.199999999999999,71.500000000000000,15.500000000000000,3.900000000000000,0.400000000000000,6.900000000000000,1.700000000000000,1776,8,16,6037550202,550202,1655,550202,2019,Norwalk,2,Norwalk,7,4,0,0,0,0,0,1,4,1,3,0,1,1,0,2,0,1,1.860000000000000,0,3,0,0,0.021000000000000,0,0,0,0,0.068000000000000,0,0,0,1,1.792000000000000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.628000000000000,0,0,0,0,13.628000000000000,550202,5090.763631578270179,1265811.921007526572794
12,6037550201.000000000000000,2941,Los Angeles,90650,Norwalk,-118.084027100000000,33.928336600000002,42.030000000000001,79,75-80%,0.046000000000000,53,12.050000000000001,82,26.989999999999998,80,507.709999999999980,54,0.000000000000000,0,5613.479999999999563,83,2159.219999999999800,92,7.000000000000000,52,6.750000000000000,38,0.070000000000000,29,0,0,0.200000000000000,9,50.869999999999997,6.270000000000000,75,53.159999999999997,60,5.770000000000000,72,11.330000000000000,85,28.800000000000001,75,13.800000000000001,72,37.899999999999999,57,5.900000000000000,20,20.399999999999999,61,64.680000000000007,6.710000000000000,72,15.500000000000000,76.099999999999994,8.400000000000000,81.299999999999997,9.600000000000000,2.300000000000000,0.200000000000000,5.600000000000000,1.000000000000000,1775,8,16,6037550201,550201,1654,550201,2019,Norwalk/Santa Fe Springs,2,Norwalk/Santa Fe Springs,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,550201,3903.982700556935470,568906.126825099112466
13,6037544002.000000000000000,3142,Los Angeles,90810,Long Beach,-118.217934700000001,33.828927299999997,39.979999999999997,76,75-80%,0.042000000000000,32,11.210000000000001,66,26.670000000000002,80,182.060000000000002,14,5.027000000000000,53,7854.699999999999818,90,2605.849999999999909,96,7.750000000000000,55,21.750000000000000,73,1.940000000000000,91,12,91,6.000000000000000,79,66.879999999999995,8.240000000000000,97,72.090000000000003,80,4.070000000000000,28,9.550000000000001,70,28.899999999999999,75,7.600000000000000,49,17.199999999999999,21,6.400000000000000,24,6.300000000000000,3,46.810000000000002,4.850000000000000,45,14.000000000000000,76.099999999999994,9.900000000000000,62.200000000000003,12.300000000000001,4.500000000000000,0.100000000000000,18.699999999999999,2.300000000000000,1774,8,16,6037544002,544002,1651,544002,2019,Carson,2,Carson,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.000000000000000,0,1,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351000000000000,0,0,0,0,1.351000000000000,544002,4537.845433473825324,1146103.894602929474786
14,6037544001.000000000000000,4791,Los Angeles,90810,Long Beach,-118.216590900000000,33.838824799999998,46.630000000000003,85,80-85%,0.042000000000000,32,11.210000000000001,66,26.010000000000002,78,182.060000000000002,14,0.000000000000000,0,8128.069999999999709,91,1040.500000000000000,69,8.050000000000001,56,28.000000000000000,80,1.320000000000000,89,13,93,2.750000000000000,59,58.409999999999997,7.200000000000000,89,72.090000000000003,80,4.020000000000000,27,9.550000000000001,70,31.100000000000001,78,9.400000000000000,57,40.299999999999997,60,13.300000000000001,77,20.100000000000001,59,62.490000000000002,6.480000000000000,69,15.100000000000000,76.599999999999994,8.300000000000001,69.200000000000003,7.100000000000000,7.300000000000000,0.100000000000000,14.800000000000001,1.600000000000000,1390,9,17,6037544001,544001,1650,544001,2019,Carson,2,Carson,8,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,1,0,0.000000000000000,0,0,5,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.941000000000000,0,0,0,0,5.941000000000000,544001,6349.760506143662496,2285664.559852232690901
15,6037543905.000000000000000,4510,Los Angeles,90745,Carson,-118.255021400000004,33.815562300000003,49.869999999999997,89,85-90%,0.042000000000000,32,11.210000000000001,66,24.320000000000000,74,213.960000000000008,17,0.000000000000000,0,9443.819999999999709,93,468.980000000000018,28,1.900000000000000,25,24.600000000000001,76,11.570000000000000,100,11,90,0.900000000000000,24,50.439999999999998,6.210000000000000,74,56.609999999999999,65,7.790000000000000,96,9.310000000000000,67,38.700000000000003,86,14.100000000000000,72,45.500000000000000,68,18.899999999999999,94,24.600000000000001,76,77.409999999999997,8.029999999999999,90,16.000000000000000,76.599999999999994,7.400000000000000,76.299999999999997,3.400000000000000,9.699999999999999,0.200000000000000,9.300000000000001,1.200000000000000,1010,9,18,6037543905,543905,1649,543905,2019,Carson,2,Carson,8,2,0,0,0,0,0,1,4,0,0,1,2,0,0,1,2,3,0.000000000000000,0,1,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,2,3,0.000000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.709000000000000,0,0,0,0,10.709000000000000,543905,7389.009767699746590,2748144.068862904794514
16,6037139504.000000000000000,3476,Los Angeles,91316,Encino,-118.520250300000001,34.167018200000001,36.829999999999998,71,70-75%,0.057000000000000,82,10.369999999999999,53,19.660000000000000,61,618.049999999999955,70,0.000000000000000,0,588.009999999999991,53,2963.000000000000000,97,0.000000000000000,0,5.000000000000000,32,0.100000000000000,43,8,76,1.000000000000000,33,51.890000000000001,6.390000000000000,77,44.619999999999997,49,4.070000000000000,28,7.340000000000000,42,6.400000000000000,25,17.800000000000001,81,46.299999999999997,69,16.000000000000000,88,36.600000000000001,96,55.549999999999997,5.760000000000000,58,7.900000000000000,69.099999999999994,23.000000000000000,9.900000000000000,76.299999999999997,3.600000000000000,0.100000000000000,4.300000000000000,5.800000000000000,2075,8,15,6037139504,139504,324,139504,2019,Los Angeles,1,Encino,2,3,5,0,0,0,0,1,5,0,0,0,0,1,0,3,0,0,1.694000000000000,0,5,0,0,0.005000000000000,0,0,0,0,0.013000000000000,0,0,0,0,1.681000000000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.263999999999999,0,0,0,0,11.263999999999999,139504,2468.284287309492356,290692.416048963903449
17,6037139503.000000000000000,4657,Los Angeles,91316,Encino,-118.524519400000003,34.167785000000002,27.329999999999998,54,50-55%,0.057000000000000,82,10.369999999999999,53,19.660000000000000,61,618.049999999999955,70,0.000000000000000,0,569.179999999999950,53,3707.670000000000073,99,0.000000000000000,0,0.000000000000000,0,0.100000000000000,43,2,29,1.000000000000000,33,46.750000000000000,5.760000000000000,63,31.149999999999999,27,3.960000000000000,25,5.210000000000000,15,9.000000000000000,36,16.800000000000001,79,40.299999999999997,60,14.000000000000000,80,32.100000000000001,91,45.770000000000003,4.750000000000000,44,7.200000000000000,71.200000000000003,21.600000000000001,11.500000000000000,73.400000000000006,3.700000000000000,0.100000000000000,5.600000000000000,5.600000000000000,3654,6,11,6037139503,139503,323,139503,2019,Los Angeles,1,Encino,2,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,139503,2469.478422562856849,351238.049770138226449
18,6037139401.000000000000000,2645,Los Angeles,91356,Tarzana,-118.537582999999998,34.169695500000003,35.619999999999997,70,65-70%,0.057000000000000,82,10.369999999999999,53,19.660000000000000,61,618.049999999999955,70,0.000000000000000,0,534.090000000000032,52,3252.030000000000200,98,2.250000000000000,29,4.800000000000000,29,0.010000000000000,9,2,29,1.000000000000000,33,48.119999999999997,5.930000000000000,67,53.509999999999998,61,4.670000000000000,43,9.310000000000000,67,13.100000000000000,48,17.800000000000001,81,34.399999999999999,51,7.100000000000000,30,28.699999999999999,85,57.950000000000003,6.010000000000000,62,10.600000000000000,74.200000000000003,15.199999999999999,22.000000000000000,60.000000000000000,4.900000000000000,0.500000000000000,7.200000000000000,5.500000000000000,2462,7,14,6037139401,139401,320,139401,2019,Los Angeles,1,Tarzana,2,3,3,5,0,0,0,1,5,0,0,1,1,1,0,0,1,2,1.694000000000000,0,0,0,0,0.005000000000000,0,0,0,0,0.013000000000000,0,0,1,2,1.681000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.696000000000000,0,0,0,0,9.696000000000000,139401,3880.242681054787226,905897.800776796764694
19,6037137103.000000000000000,4199,Los Angeles,91367,Woodland Hills,-118.601340199999996,34.174484700000001,24.160000000000000,48,45-50%,0.057000000000000,82,10.369999999999999,53,23.149999999999999,71,618.049999999999955,70,115.108999999999995,77,409.930000000000007,48,1541.569999999999936,84,0.000000000000000,0,16.500000000000000,65,0.250000000000000,66,0,0,0.000000000000000,0,54.750000000000000,6.740000000000000,83,40.240000000000002,42,3.810000000000000,22,8.270000000000000,54,3.900000000000000,14,8.800000000000001,54,15.600000000000000,18,2.500000000000000,1,20.100000000000001,59,34.549999999999997,3.580000000000000,26,8.800000000000001,78.700000000000003,12.500000000000000,11.699999999999999,61.399999999999999,5.800000000000000,0.300000000000000,16.000000000000000,4.800000000000000,4035,5,10,6037137103,137103,304,137103,2019,Los Angeles,1,Woodland Hills,2,3,3,1,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0.000000000000000,1,2,0,0,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0,0,0.000000000000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.719000000000000,0,0,0,0,5.719000000000000,137103,3578.539980556979117,762204.674802050460130
20,6037134905.000000000000000,2819,Los Angeles,91371,Woodland Hills,-118.584295400000002,34.183358800000001,18.359999999999999,34,30-35%,0.057000000000000,82,10.369999999999999,53,30.480000000000000,86,618.049999999999955,70,142.104000000000013,78,415.290000000000020,48,1033.690000000000055,69,12.000000000000000,69,17.500000000000000,67,0.640000000000000,82,2,29,0.000000000000000,0,62.729999999999997,7.730000000000000,94,24.530000000000001,15,4.260000000000000,32,4.670000000000000,10,1.500000000000000,3,2.900000000000000,22,17.399999999999999,21,7.000000000000000,29,19.899999999999999,59,22.910000000000000,2.380000000000000,11,8.500000000000000,82.700000000000003,8.800000000000001,12.600000000000000,61.200000000000003,8.699999999999999,0.300000000000000,12.600000000000000,4.600000000000000,5225,4,7,6037134905,134905,295,134905,2019,Los Angeles,1,Woodland Hills,2,3,3,12,0,0,0,1,1,0,0,1,2,10,0,0,1,3,16.940999999999999,0,0,0,0,0.050000000000000,0,0,0,0,0.129000000000000,0,0,1,3,16.812000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.518999999999998,0,0,0,0,22.518999999999998,134905,6717.267514122124339,2581656.811159374192357
